isin,wkn,ticker,valor,name,index,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2023,2022,2021,2020,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,asset,instrument,region,exchange
DE000ETF7011,ETF701,F701,32395796,Amundi Multi-Asset Portfolio UCITS ETF Dist,Amundi Multi-Asset Portfolio,2016-04-12,2874,7.873972602739726,Long-only,Germany,EUR,False,False,Distributing,0.45,Full replication,180,False,1470,0.89,-0.98,1.15,4.37,4.62,5.21,9.62,29.8,8.03,-10.2,16.55,2.62,2.01,2.07,6.67,9.06,11.68,0.78,0.34,0.46,-23.6,-5.41,-11.76,-23.6,,,,
DE000ETF7029,ETF702,F702,40652119,Amundi Multi-Asset Portfolio Defensive UCITS ETF Dist,Amundi Multi-Asset Portfolio Defensive,2018-03-07,2180,5.972602739726027,Long-only,Germany,EUR,False,False,Distributing,0.4,Full replication,24,False,1461,1.16,0.29,1.6,4.31,5.3,6.8,5.02,19.79,8.99,-10.49,7.98,4.13,0.94,1.0,4.22,5.42,6.88,1.61,0.3,0.53,-15.7,-3.17,-12.9,-15.7,,,,
DE000ETF7037,ETF703,F703,40652151,Amundi Multi-Asset Portfolio Offensive UCITS ETF Dist,Amundi Multi-Asset Portfolio Offensive,2018-03-07,2180,5.972602739726027,Long-only,Germany,EUR,False,False,Distributing,0.52,Full replication,19,False,1467,3.32,0.41,3.15,7.06,8.24,10.57,17.59,48.48,13.46,-12.26,19.73,6.25,2.93,3.14,7.96,10.5,15.33,1.33,0.53,0.54,-30.98,-6.86,-15.89,-30.98,,,,
NL0009272756,A1JPFU,2TCE,,VanEck AMX UCITS ETF,AMX,2009-12-14,5185,14.205479452054794,Long-only,Netherlands,EUR,False,False,Distributing,0.35,Full replication,21,False,25,-4.19,-0.49,1.35,4.53,2.95,-10.89,-2.68,32.72,2.61,-10.69,18.15,4.41,2.37,2.09,16.32,17.24,20.25,-0.67,-0.05,0.29,-42.26,-23.32,-26.25,-42.26,,,,
DE000A0D8Q23,A0D8Q2,EXXX,2281271,iShares ATX UCITS ETF (DE),ATX®,2005-08-04,6778,18.56986301369863,Long-only,Germany,EUR,False,False,Distributing,0.32,Full replication,93,False,20,-1.5,-0.69,0.0,4.25,9.2,1.28,22.35,28.62,13.98,-16.45,42.12,-11.3,3.58,3.49,15.41,19.62,23.1,0.08,0.35,0.22,-70.82,-15.02,-32.65,-49.88,,,,
LU0659579063,DBX0KJ,XB4A,14207122,Xtrackers ATX UCITS ETF 1C,ATX®,2011-11-11,4488,12.295890410958904,Long-only,Luxembourg,EUR,False,True,Accumulating,0.25,Full replication,47,False,20,-1.52,-0.73,-0.03,4.24,9.28,1.76,23.18,30.06,14.66,-16.57,42.39,-10.85,,,15.34,19.61,23.14,0.11,0.37,0.23,-53.36,-14.98,-32.66,-49.87,,,,
CH1135202088,A3GVVT,V21A,113520208,21Shares Avalanche ETP,Avalanche (AVAX),2021-11-18,828,2.2684931506849315,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,15,False,,-11.99,-10.37,24.46,70.54,246.7,72.88,,,263.96,-89.38,,,,,85.38,,,0.85,,,-93.78,-57.71,,,,,,
DE000A3GV1T7,A3GV1T,VAVA,115281640,VanEck Avalanche ETN,Avalanche (AVAX),2021-12-08,808,2.213698630136986,Long-only,Liechtenstein,USD,False,False,Accumulating,1.5,Physically backed,12,False,,-12.19,-11.97,24.3,72.2,246.08,73.89,,,268.81,-89.56,,,,,81.28,,,0.91,,,-92.6,-57.42,,,,,,
IE000SBHVL31,A3DHNP,ABIT,121396634,AXA IM ACT Biodiversity Equity UCITS ETF USD Acc,AXA IM ACT Biodiversity Equity,2022-08-31,542,1.484931506849315,"Long-only, Active",Ireland,USD,False,False,Accumulating,0.7,Full replication,225,True,,7.83,0.98,6.71,13.58,13.47,13.93,,,9.86,,,,,,11.38,,,1.22,,,-10.27,-10.18,,,,,,
IE0003IT72N9,A3DHNQ,ABIE,122117296,AXA IM ACT Biodiversity Equity UCITS ETF EUR Hedged Acc,AXA IM ACT Biodiversity Equity (EUR Hedged),2022-09-22,520,1.4246575342465753,"Long-only, Active",Ireland,EUR,True,False,Accumulating,0.7,Full replication,140,True,,5.29,1.4,6.47,12.17,11.87,13.51,,,10.66,,,,,,13.46,,,1.0,,,-14.42,-14.42,,,,,,
IE000Z8BHG02,A3DHNN,ACLT,122122977,AXA IM ACT Climate Equity UCITS ETF USD Acc,AXA IM ACT Climate Equity,2022-09-26,516,1.4136986301369863,"Long-only, Active",Ireland,USD,False,False,Accumulating,0.7,Full replication,240,True,,6.18,0.79,5.13,11.79,10.14,12.88,,,14.77,,,,,,11.88,,,1.08,,,-10.81,-10.81,,,,,,
IE000E66LX20,A3DHNM,ACLE,122537186,AXA IM ACT Climate Equity UCITS ETF EUR Hedged Acc,AXA IM ACT Climate Equity (EUR Hedged),2022-10-13,499,1.367123287671233,"Long-only, Active",Ireland,EUR,True,False,Accumulating,0.7,Full replication,147,True,,3.99,1.35,5.04,10.53,8.84,12.74,,,15.53,,,,,,14.23,,,0.9,,,-14.76,-14.76,,,,,,
IE000JBB8CR7,A3EG2R,AIPE,128197920,AXA IM Euro Credit PAB UCITS ETF EUR Acc,AXA IM Euro Credit PAB,2023-07-11,228,0.6246575342465753,"Long-only, Active",Ireland,EUR,False,False,Accumulating,0.2,Full replication,166,True,,-0.19,0.66,0.85,3.71,4.94,,,,,,,,,,,,,,,,-1.69,,,,,,,
IE000IAPH329,A3EXR0,AHYT,130631932,AXA IM US High Yield Opportunities UCITS ETF USD Acc,AXA IM US High Yield Opportunities,2023-12-05,81,0.2219178082191781,"Long-only, Active",Ireland,USD,False,False,Accumulating,0.35,Full replication,50,True,,2.46,0.42,1.48,,,,,,,,,,,,,,,,,,-0.94,,,,,,,
IE000N0TTJQ9,A3EWV3,AIPT,,AXA IM USD Credit PAB UCITS ETF USD Acc,AXA IM USD Credit PAB,2023-10-30,117,0.32054794520547947,"Long-only, Active",Ireland,USD,False,False,Accumulating,0.18,Full replication,100,True,,0.91,-0.1,0.3,4.38,,,,,,,,,,,,,,,,,-2.16,,,,,,,
IE00BFXR6159,A2N4PW,EN4C,112547249,L&G Multi-Strategy Enhanced Commodities UCITS ETF,Barclays Backwardation Tilt Multi-Strategy Capped,2021-07-02,967,2.649315068493151,Long-only,Ireland,USD,False,False,Accumulating,0.3,Swap based Unfunded,1441,False,,1.08,-1.62,-0.66,-4.64,-5.16,-4.71,,,-7.05,32.14,,,,,14.08,,,-0.33,,,-23.92,-11.96,,,,,,
IE0006BISQN7,,ECCH,126353002,L&G Multi-Strategy Enhanced Commodities UCITS ETF CHF Hedged Acc,Barclays Backwardation Tilt Multi-Strategy Capped (CHF Hedged),2023-08-18,190,0.5205479452054794,Long-only,Ireland,CHF,True,False,Accumulating,0.35,Swap based Unfunded,157,False,,-3.05,-0.1,-0.1,-4.65,,,,,,,,,,,,,,,,,-9.91,,,,,,,
IE00022GJEG1,A3EGUZ,BATJ,126567428,L&G Multi-Strategy Enhanced Commodities UCITS ETF EUR Hedged Acc,Barclays Backwardation Tilt Multi-Strategy Capped (EUR Hedged),2023-08-18,190,0.5205479452054794,Long-only,Ireland,EUR,True,False,Accumulating,0.35,Swap based Unfunded,6,False,,-1.16,-1.16,-0.95,-5.71,-5.9,,,,,,,,,,,,,,,,-10.89,,,,,,,
LU2491211004,A3DPYD,BQGE,,Ossiam Barclays Quantic Global E NR UCITS ETF 1C (EUR),Barclays Quantic Global E,2022-07-19,585,1.6027397260273972,Long-only,Luxembourg,EUR,False,False,Accumulating,0.7,Swap based,88,True,,3.99,0.39,4.77,12.43,14.02,13.53,,,17.3,,,,,,14.28,,,0.95,,,-13.52,-11.81,,,,,,
BGSRBBE05183,A2JB7D,ESNB,,Expat Serbia BELEX15 UCITS ETF,BELEX15,2018-02-05,2210,6.054794520547945,Long-only,Bulgaria,EUR,False,False,Accumulating,1.38,Full replication,0,False,3,8.7,8.7,8.7,7.53,6.38,8.7,5.26,25.0,2.22,-9.09,4.21,-4.04,,,15.68,12.57,12.82,0.55,0.14,0.36,-21.21,-6.32,-14.85,-14.85,,,,
BGROBET05176,A2JAHB,ROX,,Expat Romania BET UCITS ETF,BET,2017-12-21,2256,6.1808219178082195,Long-only,Bulgaria,EUR,False,False,Accumulating,1.38,Full replication,2,False,19,9.34,5.85,8.74,11.17,24.37,26.75,63.11,121.11,22.15,-1.97,28.81,0.0,,,44.93,29.51,25.39,0.6,0.6,0.68,-27.5,-21.58,-21.58,-27.5,,,,
CH0496454155,A22GRU,21XJ,49645415,21Shares Binance BNB ETP,Binance Coin (BNB),2019-10-15,1593,4.364383561643836,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,289,False,,17.74,2.34,25.53,59.75,71.22,14.44,68.46,,24.0,-51.78,1381.39,140.63,,,47.6,75.26,,0.3,0.25,,-68.31,-40.0,-68.31,,,,,
GB00BQ991Q22,A3G5PQ,1VBT,,1Valour Bitcoin Physical Carbon Neutral,Bitcoin,2023-06-15,254,0.6958904109589041,Long-only,Jersey,USD,False,False,Accumulating,1.49,Physically backed,0,False,,21.01,-2.91,29.96,37.45,94.19,,,,,,,,,,,,,,,,-18.14,,,,,,,
CH1199067674,A3GZ2Z,21BC,119906767,21Shares Bitcoin Core ETP,Bitcoin,2022-06-29,605,1.6575342465753424,Long-only,Switzerland,USD,False,False,Accumulating,0.21,Physically backed,35,False,,21.1,-2.93,30.36,37.87,95.31,107.56,,,151.08,,,,,,44.56,,,2.41,,,-35.09,-17.65,,,,,,
CH0454664001,A2T64E,2BTC,45466400,21Shares Bitcoin ETP,Bitcoin,2019-02-26,1824,4.997260273972603,Long-only,Switzerland,USD,False,False,Accumulating,1.49,Physically backed,456,False,,20.81,-2.9,30.52,37.32,93.97,105.1,12.45,,147.86,-63.74,80.17,249.79,,,44.6,59.36,,2.36,0.07,,-74.34,-17.73,-74.34,,,,,
GB00BLD4ZL17,A3GPMN,BITC,58943992,CoinShares Physical Bitcoin,Bitcoin,2021-01-19,1131,3.0986301369863014,Long-only,Jersey,USD,False,False,Accumulating,0.35,Physically backed,527,False,,20.77,-2.94,30.27,37.51,94.41,106.11,16.09,,149.34,-63.99,,,,,44.49,59.77,,2.39,0.09,,-74.28,-18.02,-74.28,,,,,
DE000A3GK2N1,A3GK2N,XBTI,110570684,DDA Physical Bitcoin ETP,Bitcoin,2021-04-15,1045,2.863013698630137,Long-only,Germany,USD,False,False,Accumulating,0.95,Physically backed,10,False,,20.9,-2.97,30.2,35.21,93.64,105.86,,,148.68,-63.55,,,,,45.04,,,2.35,,,-74.15,-17.65,,,,,,
DE000A27Z304,A27Z30,BTCE,55503260,ETC Group Physical Bitcoin,Bitcoin,2020-06-08,1356,3.7150684931506848,Long-only,Germany,USD,False,False,Accumulating,2.0,Physically backed,981,False,,20.66,-2.94,30.55,37.16,93.82,103.97,11.87,,146.66,-63.89,80.77,,,,44.82,58.73,,2.32,0.06,,-73.84,-18.15,-73.84,,,,,
XS2434891219,A3GWZD,FBTC,,Fidelity Physical Bitcoin ETP,Bitcoin,2022-02-10,744,2.0383561643835617,Long-only,Germany,EUR,False,False,Accumulating,0.35,Physically backed,21,False,,20.89,-2.94,30.42,37.8,94.54,106.7,,,150.33,,,,,,44.68,,,2.39,,,-64.75,-17.82,,,,,,
GB00BLBDZV05,A3GWV4,BT0Y,117546578,Global X Bitcoin ETP,Bitcoin,2022-03-08,718,1.9671232876712328,Long-only,Jersey,USD,False,False,Accumulating,0.65,Physically backed,2,False,,21.11,-2.97,30.47,37.74,94.96,106.77,,,149.71,,,,,,45.49,,,2.35,,,-64.73,-17.94,,,,,,
XS2376095068,A3GU8J,BTIC,114433069,Invesco Physical Bitcoin,Bitcoin,2021-11-23,823,2.254794520547945,Long-only,Jersey,USD,False,False,Accumulating,0.39,Physically backed,125,False,,21.1,-3.14,30.51,37.73,94.71,106.41,,,148.43,-63.5,,,,,46.02,,,2.31,,,-70.82,-18.03,,,,,,
CH0558875933,A3GVH3,SETB,55887593,SEBA Bitcoin ETP,Bitcoin,2020-11-02,1209,3.3123287671232875,Long-only,Switzerland,USD,False,False,Accumulating,0.75,Physically backed,77,False,,21.28,-2.77,30.66,37.76,94.87,107.27,18.75,,149.01,-63.88,80.95,,,,44.55,60.88,,2.41,0.1,,-74.1,-17.78,-74.1,,,,,
DE000A28M8D0,A28M8D,VBTC,58450415,VanEck Bitcoin ETN,Bitcoin,2020-11-19,1192,3.265753424657534,Long-only,Liechtenstein,USD,False,False,Accumulating,1.0,Physically backed,272,False,,21.11,-2.87,30.65,37.6,94.63,106.18,16.97,,148.69,-63.58,81.62,,,,45.0,60.39,,2.36,0.09,,-74.24,-18.18,-74.24,,,,,
GB00BJYDH287,A3GKGK,WBIT,51008802,WisdomTree Physical Bitcoin,Bitcoin,2019-11-28,1549,4.243835616438356,Long-only,Jersey,USD,False,False,Accumulating,0.35,Physically backed,306,False,,21.01,-2.92,30.37,37.52,94.66,106.4,14.62,,148.8,-63.52,77.85,263.52,,,44.42,59.89,,2.4,0.08,,-74.17,-17.9,-74.17,,,,,
CH0475552201,A2126N,ABCH,47555220,21Shares Bitcoin Cash ETP,Bitcoin Cash,2019-07-04,1696,4.646575342465753,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,6,False,,1.17,-4.86,15.85,17.29,38.22,79.58,-46.69,,158.44,-77.1,31.16,47.05,,,92.07,90.6,,0.86,-0.21,,-92.79,-38.28,-92.79,,,,,
IE00BLP53M98,A2P1TT,MACV,54095544,BlackRock ESG Multi-Asset Conservative Portfolio UCITS ETF EUR (Acc),BlackRock ESG Multi-Asset Conservative Portfolio,2020-09-08,1264,3.463013698630137,"Long-only, Active",Ireland,EUR,False,False,Accumulating,0.25,Full replication,14,True,13693,0.0,0.42,0.63,3.23,3.67,4.12,-6.07,,5.03,-13.77,3.11,,,,4.02,4.72,,1.03,-0.44,,-15.6,-3.41,-15.6,,,,,
IE00BLB2GQ94,A3DGQB,MACU,117609208,BlackRock ESG Multi-Asset Conservative Portfolio UCITS ETF USD Hedged (Acc),BlackRock ESG Multi-Asset Conservative Portfolio (USD Hedged),2022-03-29,697,1.9095890410958904,"Long-only, Active",Ireland,USD,True,False,Accumulating,0.25,Full replication,0,True,13693,1.75,-1.07,0.87,4.27,5.69,4.5,,,3.64,,,,,,8.24,,,0.55,,,-11.48,-5.05,,,,,,
IE00BLLZQ805,A2P1TV,MAGR,54095497,BlackRock ESG Multi-Asset Growth Portfolio UCITS ETF EUR (Acc),BlackRock ESG Multi-Asset Growth Portfolio,2020-09-08,1264,3.463013698630137,"Long-only, Active",Ireland,EUR,False,False,Accumulating,0.25,Full replication,42,True,4499,4.61,0.99,3.55,9.46,10.65,12.48,10.85,,11.83,-18.38,17.8,,,,7.95,10.81,,1.57,0.32,,-21.55,-8.41,-21.55,,,,,
IE00BLB2GS19,A3DGQD,MAGU,117606623,BlackRock ESG Multi-Asset Growth Portfolio UCITS ETF USD Hedged (Acc),BlackRock ESG Multi-Asset Growth Portfolio (USD Hedged),2022-03-29,697,1.9095890410958904,"Long-only, Active",Ireland,USD,True,False,Accumulating,0.25,Full replication,0,True,4499,5.84,-1.01,3.82,10.38,12.67,12.41,,,10.53,,,,,,10.83,,,1.15,,,-14.37,-5.7,,,,,,
IE00BLLZQS08,A2P1TU,MODR,54095564,BlackRock ESG Multi-Asset Moderate Portfolio UCITS ETF EUR (Acc),BlackRock ESG Multi-Asset Moderate Portfolio,2020-09-08,1264,3.463013698630137,"Long-only, Active",Ireland,EUR,False,False,Accumulating,0.25,Full replication,22,True,13624,1.84,0.54,1.84,6.13,6.74,7.99,3.55,,8.8,-15.82,11.65,,,,5.27,7.38,,1.52,0.16,,-18.15,-5.67,-18.15,,,,,
IE00BLB2GT26,A3DGQC,MODU,117607960,BlackRock ESG Multi-Asset Moderate Portfolio UCITS ETF USD Hedged (Acc),BlackRock ESG Multi-Asset Moderate Portfolio (USD Hedged),2022-03-29,697,1.9095890410958904,"Long-only, Active",Ireland,USD,True,False,Accumulating,0.25,Full replication,2,True,13624,3.25,-1.04,2.15,7.21,9.17,8.43,,,7.71,,,,,,8.78,,,0.96,,,-12.5,-4.22,,,,,,
GB00B15KYH63,A0KRK8,OD7U,,WisdomTree Agriculture,Bloomberg Agriculture,2006-09-27,6359,17.421917808219177,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,208,False,,-6.52,-2.68,-5.71,-10.51,-10.95,-15.77,27.63,48.5,-7.61,21.11,34.97,5.18,,,15.3,19.79,18.27,-1.03,0.43,0.45,-63.09,-16.41,-25.85,-25.85,,,,
JE00B78NPY84,A1NZK9,00XJ,,WisdomTree Agriculture - EUR Daily Hedged,Bloomberg Agriculture (EUR Hedged),2012-03-15,4363,11.953424657534246,Long-only,Jersey,EUR,True,False,Accumulating,0.49,Swap based,2,False,,-8.47,-2.1,-5.91,-11.16,-12.06,-15.97,7.65,28.72,-6.9,11.29,24.12,13.47,,,14.5,18.61,17.08,-1.1,0.13,0.3,-44.78,-19.01,-27.2,-27.2,,,,
JE00B24DMK23,A0SVXY,9GAL,,WisdomTree Agriculture Longer Dated,Bloomberg Agriculture 3 Month Forward,2007-10-10,5981,16.386301369863013,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,3,False,,-7.06,-2.65,-5.26,-10.77,-11.47,-17.11,31.16,50.81,-8.98,22.63,40.03,4.43,,,14.93,19.21,17.52,-1.15,0.49,0.49,-63.92,-17.11,-27.93,-27.93,,,,
GB00B15KXN58,A0KRKP,OD7A,,WisdomTree Aluminium,Bloomberg Aluminum,2006-09-27,6359,17.421917808219177,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,133,False,,-6.64,-2.2,-1.48,-1.84,-0.74,-13.31,5.95,0.75,-6.54,-11.05,48.92,-6.1,,,17.36,24.36,21.19,-0.77,0.08,0.01,-70.76,-15.81,-46.84,-46.84,,,,
LU1681046006,A2H57Y,WDNR,38785068,Amundi Global BioEnergy ESG Screened UCITS ETF EUR Acc,Bloomberg BioEnergy ESG,2018-01-31,2215,6.068493150684931,Long-only,Luxembourg,EUR,False,True,Accumulating,0.35,Full replication,38,True,24,-3.82,-0.32,0.88,-1.15,-2.87,-5.91,79.69,33.86,-2.81,55.09,49.87,-37.49,,,16.94,23.53,30.56,-0.35,0.92,0.2,-63.18,-12.17,-19.62,-60.19,,,,
LU1681046188,A2H57Z,X136,38785074,Amundi Global BioEnergy ESG Screened UCITS ETF USD Acc,Bloomberg BioEnergy ESG,2018-01-31,2215,6.068493150684931,Long-only,Luxembourg,USD,False,True,Accumulating,0.35,Full replication,4,True,24,-3.63,0.0,2.03,-0.5,-2.63,-4.99,87.1,34.43,-2.9,54.56,50.91,-37.62,,,18.4,24.35,31.09,-0.27,0.95,0.2,-63.62,-12.15,-19.89,-60.42,,,,
IE00BVFZGD11,A179AH,0LJD,,WisdomTree Bloomberg Brent Crude Oil,Bloomberg Brent Crude,2015-04-09,3243,8.884931506849314,Long-only,Ireland,USD,False,False,Accumulating,0.25,Swap based,8,False,,8.68,-1.37,3.26,3.73,3.85,7.94,118.78,80.03,-4.36,49.07,77.25,-40.65,,,27.86,34.89,40.93,0.29,0.85,0.3,-72.22,-21.16,-33.33,-68.19,,,,
JE00B78CGV99,A1N49M,OOEA,,WisdomTree Brent Crude Oil,Bloomberg Brent Crude,2012-01-09,4429,12.134246575342466,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,1557,False,,8.54,-1.43,3.12,3.61,3.68,6.91,114.32,82.23,-5.27,48.16,77.44,-37.98,,,27.78,34.82,40.35,0.25,0.83,0.32,-82.98,-21.25,-34.02,-67.06,,,,
JE00B78CP782,A1N49N,OOEB,,WisdomTree Brent Crude Oil Longer Dated,Bloomberg Brent Crude 3 Month Forward,2012-01-09,4429,12.134246575342466,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,1,False,,6.71,-1.5,1.99,1.53,1.53,6.13,90.17,61.12,-3.09,33.16,70.66,-31.87,,,25.47,32.12,34.93,0.24,0.74,0.29,-75.63,-17.86,-33.05,-57.47,,,,
JE00B7305Z55,A1N3G0,00XT,,WisdomTree Brent Crude Oil - EUR Daily Hedged,Bloomberg Brent Crude Oil Multi-Tenor (EUR Hedged),2012-07-06,4250,11.643835616438356,Long-only,Jersey,EUR,True,False,Accumulating,0.49,Swap based,16,False,,4.79,-1.32,2.14,0.96,1.55,6.49,70.45,46.65,-2.34,28.57,59.6,-33.51,,,27.14,33.52,39.3,0.24,0.58,0.2,-87.55,-17.56,-33.18,-68.27,,,,
LU2439735890,A3DKVC,CNYE,118373758,Amundi China CNY Bonds UCITS ETF DR (C),Bloomberg China Treasury + Policy Bank,2022-11-28,453,1.2410958904109588,Long-only,Luxembourg,USD,False,False,Accumulating,0.2,Sampling,5,False,127,1.98,-0.24,1.01,1.85,2.94,-1.09,,,-1.64,,,,,,6.1,,,-0.18,,,-8.7,-7.96,,,,,,
IE000N5JOGS2,A3EKEN,H41Q,,HSBC China Government Local Bond UCITS ETF C,Bloomberg China Treasury + Policy Bank,2023-07-12,227,0.6219178082191781,Long-only,Ireland,USD,False,False,Accumulating,0.2,Sampling,15,False,139,1.93,0.0,0.96,2.37,3.26,,,,,,,,,,,,,,,,-2.54,,,,,,,
IE00BKPSFD61,A2P3WK,AYER,54540945,iShares China CNY Bond UCITS ETF USD (Acc),Bloomberg China Treasury + Policy Bank,2020-05-14,1381,3.7835616438356166,Long-only,Ireland,USD,False,False,Accumulating,0.35,Full replication,372,False,75,2.17,0.0,1.76,2.77,4.85,-0.19,16.37,,-1.36,0.59,17.16,,,,6.01,6.93,,-0.03,0.75,,-13.73,-7.98,-13.73,,,,,
IE00BYPC1H27,A14T8G,ICGB,29336346,iShares China CNY Bond UCITS ETF USD (Dist),Bloomberg China Treasury + Policy Bank,2019-07-24,1676,4.5917808219178085,Long-only,Ireland,USD,False,False,Distributing,0.35,Full replication,1149,False,75,1.93,0.0,1.06,2.34,3.22,-0.74,16.02,,-1.21,0.49,17.3,0.32,2.54,2.46,6.2,6.93,,-0.12,0.73,,-13.87,-8.1,-13.87,,,,,
IE000YUU9UG5,A3EKER,H41U,,HSBC China Government Local Bond UCITS ETF C EUR Hedged,Bloomberg China Treasury + Policy Bank (EUR Hedged),2023-07-12,227,0.6219178082191781,Long-only,Ireland,EUR,True,False,Accumulating,0.23,Sampling,2,False,139,1.17,0.19,1.27,2.47,2.16,,,,,,,,,,,,,,,,-1.47,,,,,,,
